,price
0,799950.0
1,290000.0
2,970000.0
3,159000.0
4,350000.0
5,643950.0
6,622000.0
7,168000.0
8,475000.0
9,1510000.0
10,1070000.0
11,650000.0
12,357562.0
13,1150000.0
14,180000.0
15,507000.0
16,334950.0
17,441000.0
18,657500.0
19,710500.0
20,343000.0
21,292500.0
22,290000.0
23,200000.0
24,920000.0
25,215000.0
26,900000.0
27,335000.0
28,442500.0
29,369950.0
30,409000.0
31,352450.0
32,1160000.0
33,425000.0
34,430000.0
35,280000.0
36,672324.0
37,148226.0
38,545000.0
39,533000.0
40,365000.0
41,525000.0
42,995000.0
43,510000.0
44,399000.0
45,420000.0
46,315000.0
47,565000.0
48,537100.0
49,995000.0
50,524000.0
51,434400.0
52,905000.0
53,2260000.0
54,628000.0
55,266000.0
56,345000.0
57,419000.0
58,310000.0
59,399000.0
60,495000.0
61,245000.0
62,707000.0
63,600000.0
64,705000.0
65,1590000.0
66,199950.0
67,420000.0
68,525000.0
69,403250.0
70,725000.0
71,852000.0
72,420000.0
73,175000.0
74,319950.0
75,820000.0
76,375000.0
77,264500.0
78,568000.0
79,614000.0
80,524000.0
81,180000.0
82,385000.0
83,289950.0
84,438950.0
85,334950.0
86,808000.0
87,282950.0
88,849990.0
89,385000.0
90,759000.0
91,210000.0
92,680000.0
93,1000000.0
94,470000.0
95,390000.0
96,1270000.0
97,389950.0
98,525000.0
99,357000.0
100,1290000.0
101,895000.0
102,240000.0
103,700000.0
104,1100000.0
105,469000.0
106,735000.0
107,520000.0
108,352000.0
109,379950.0
110,156000.0
111,625000.0
112,362500.0
113,189950.0
114,733500.0
115,409000.0
116,437000.0
117,245000.0
118,713400.0
119,940000.0
120,255000.0
121,827000.0
122,240000.0
123,1220000.0
124,865000.0
125,836000.0
126,365000.0
127,574800.0
128,321500.0
129,255000.0
130,288790.0
131,334950.0
132,485000.0
133,660000.0
134,270000.0
135,425500.0
136,760000.0
137,269950.0
138,1140000.0
139,240000.0
140,475000.0
141,312000.0
142,253000.0
143,500000.0
144,1300000.0
145,220000.0
146,312000.0
147,1300000.0
148,310000.0
149,825000.0
150,379950.0
151,360000.0
152,902000.0
153,427874.0
154,304999.0
155,580000.0
156,720000.0
157,770000.0
158,539000.0
159,230000.0
160,245000.0
161,280000.0
162,357000.0
163,282150.0
164,276000.0
165,546000.0
166,702000.0
167,375000.0
168,539000.0
169,307000.0
170,284850.0
171,484000.0
172,265000.0
173,340000.0
174,299500.0
175,570000.0
176,548000.0
177,287000.0
178,670000.0
179,590000.0
180,300000.0
181,596000.0
182,319000.0
183,660000.0
184,640000.0
185,280000.0
186,312000.0
187,340000.0
188,399950.0
189,462000.0
190,572000.0
191,475000.0
192,345000.0
193,235000.0
194,1050000.0
195,554990.0
196,255000.0
197,475000.0
198,1820000.0
199,1600000.0
200,450000.0
201,775000.0
202,517500.0
203,403950.0
204,580000.0
205,1390000.0
206,308000.0
207,410000.0
208,1300000.0
209,675000.0
210,499950.0
211,760000.0
212,486940.0
213,725000.0
214,455000.0
215,272000.0
216,200000.0
217,465000.0
218,220000.0
219,705000.0
