,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,month,year
0,2340000.0,4,2.5,4500,35200,1.0,0,0,3,13,4500,0,1988,0,47.5477,-122.126,4760,35200,4,2015
1,850000.0,4,3.0,3070,7150,2.0,0,0,3,9,3070,0,2007,0,47.7079,-122.107,3200,6984,4,2015
2,850000.0,3,2.5,2650,2387,2.0,0,0,3,8,1830,820,1920,0,47.6315,-122.362,1870,2216,6,2014
3,581000.0,2,1.0,1170,4080,1.0,0,0,4,7,1170,0,1909,0,47.6784,-122.386,1560,4586,5,2015
4,317000.0,3,2.5,2100,7587,2.0,0,0,3,9,2100,0,1990,0,47.3072,-122.391,2330,8119,2,2015
5,377500.0,3,2.25,1410,1377,2.0,0,0,3,7,1290,120,2005,0,47.5342,-122.067,1445,1370,5,2014
6,1430000.0,4,2.5,2910,7364,2.0,0,0,3,10,2910,0,2003,0,47.6906,-122.213,2480,8400,11,2014
7,449000.0,4,2.0,1870,6000,1.5,0,0,3,7,1870,0,1956,0,47.7155,-122.315,1520,7169,1,2015
8,211000.0,4,1.0,2100,9200,1.0,0,0,3,7,1050,1050,1959,0,47.476,-122.292,1540,10033,5,2014
9,387000.0,3,1.0,1230,9568,1.0,0,0,5,7,1230,0,1962,0,47.539,-122.179,1270,9575,5,2014
10,525000.0,3,1.75,1710,7350,1.0,0,0,3,8,1280,430,1981,0,47.699,-122.167,2100,7560,10,2014
11,260000.0,3,1.75,2170,10018,1.0,0,0,4,7,1630,540,1978,0,47.3087,-122.264,2049,15263,9,2014
12,390000.0,3,1.5,1240,8410,1.0,0,0,5,6,1240,0,1948,0,47.753,-122.328,1630,8410,5,2015
13,362000.0,3,2.5,2310,7485,2.0,0,0,3,8,2310,0,1986,0,47.439,-122.135,2310,8142,11,2014
14,260000.0,3,1.75,1340,8000,1.0,0,0,3,7,1340,0,1980,0,47.3651,-122.044,1690,8000,8,2014
15,83000.0,2,1.0,900,8580,1.0,0,0,3,5,900,0,1918,0,47.4727,-122.27,2060,6533,5,2014
16,525000.0,4,1.5,1170,6240,1.0,0,0,4,6,1170,0,1960,0,47.5495,-122.232,2380,8846,8,2014
17,624900.0,4,2.5,2270,11500,1.0,0,0,3,8,1540,730,1967,0,47.7089,-122.241,2020,10918,2,2015
18,465000.0,4,1.75,1810,21650,2.0,0,0,4,7,1810,0,1961,0,47.7358,-122.076,2700,29680,12,2014
19,510000.0,3,2.5,2310,53578,1.0,0,0,4,8,1340,970,1981,0,47.7677,-122.135,2660,49658,4,2015
20,515000.0,3,1.75,1900,5000,1.0,0,0,4,7,950,950,1925,0,47.5677,-122.363,1420,5000,3,2015
21,475000.0,4,2.5,3150,5757,2.0,0,0,3,9,3150,0,2004,0,47.4568,-122.117,3100,5757,9,2014
22,230000.0,5,1.0,1920,19040,1.0,0,0,3,7,1160,760,1961,0,47.4756,-122.294,1920,11520,9,2014
23,445000.0,4,1.0,1460,4600,1.0,0,2,3,6,780,680,1946,0,47.566,-122.38,1560,4600,11,2014
24,410000.0,2,1.0,2020,7540,1.0,0,0,3,7,1010,1010,1921,0,47.5359,-122.28,1270,4652,3,2015
25,525000.0,3,3.0,2470,36445,2.0,0,0,4,8,2470,0,1980,0,47.4661,-121.997,2310,35350,6,2014
26,632500.0,5,2.5,2640,7096,2.0,0,0,3,7,2640,0,2003,0,47.6827,-122.038,2640,4850,6,2014
27,845000.0,3,1.75,1600,2538,2.0,0,0,3,7,1600,0,1929,0,47.6447,-122.327,1660,1750,3,2015
28,825000.0,2,1.0,1150,12775,1.0,1,4,4,6,1150,0,1908,0,47.502,-122.222,2440,11852,8,2014
29,210000.0,3,1.5,1160,5200,1.0,0,0,5,7,1160,0,1970,0,47.364,-122.094,1170,5200,10,2014
30,204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1968,0,47.3621,-122.11,1010,12635,8,2014
31,605000.0,3,2.5,2960,18600,2.0,0,0,3,8,2960,0,1979,0,47.4358,-122.344,2740,15681,8,2014
32,456500.0,3,1.0,1290,3880,1.5,0,0,4,7,1290,0,1919,0,47.6879,-122.392,1290,4850,7,2014
33,299950.0,3,1.0,910,8000,1.0,0,0,4,6,740,170,1950,0,47.7746,-122.378,2090,9007,5,2014
34,234950.0,3,1.0,1360,9948,1.0,0,0,3,6,1360,0,1977,0,47.3422,-122.053,1670,8475,5,2014
35,1030000.0,3,1.0,2050,4800,2.0,0,0,3,8,1950,100,1922,0,47.6315,-122.311,2220,4800,3,2015
36,325000.0,2,1.0,1010,6180,1.0,0,0,3,6,1010,0,1903,0,47.5532,-122.28,1560,6180,4,2015
37,1200000.0,5,2.75,2910,9480,1.5,0,0,3,8,2910,0,1939,0,47.6552,-122.278,2940,6600,5,2014
38,725000.0,4,2.75,2630,7505,2.0,0,0,3,8,2630,0,1994,0,47.6846,-122.163,2670,7506,6,2014
39,325000.0,4,2.75,1960,8937,1.0,0,0,5,7,980,980,1954,0,47.451,-122.278,1480,10016,2,2015
40,185000.0,3,1.75,1080,9262,1.0,0,0,3,7,1080,0,1968,0,47.4883,-122.248,1090,9262,8,2014
41,267800.0,3,1.75,1410,1899,2.0,0,0,3,8,1410,0,2014,0,47.5171,-122.347,1410,1811,12,2014
42,1430000.0,3,2.75,2710,9204,1.5,0,4,3,9,1480,1230,1975,0,47.7039,-122.385,2960,10080,3,2015
43,645000.0,4,2.5,2850,37522,2.0,0,0,3,9,2850,0,1987,0,47.5852,-121.992,2980,35280,7,2014
44,749950.0,4,2.75,3110,35235,2.0,0,0,4,9,3110,0,1983,0,47.7355,-122.095,2790,35445,6,2014
45,526000.0,3,2.5,1626,1583,2.5,0,0,3,8,1419,207,2007,0,47.6031,-122.309,1400,1583,2,2015
46,382495.0,3,2.5,1760,5390,1.0,0,0,3,8,1760,0,2014,0,47.3482,-122.042,2310,5117,11,2014
47,530000.0,4,2.25,2210,7665,2.0,0,0,4,8,2210,0,1968,0,47.5424,-122.168,1960,7903,6,2014
48,200500.0,3,1.75,1260,9346,1.0,0,0,4,7,1260,0,1963,0,47.3713,-122.186,1800,9705,6,2014
49,800000.0,4,2.25,2010,7200,1.0,0,1,4,8,1010,1000,1950,0,47.5591,-122.267,2010,7200,10,2014
50,290000.0,3,2.25,1500,7482,1.0,0,0,4,7,1210,290,1968,0,47.4619,-122.187,1480,7308,10,2014
51,495000.0,6,5.0,3440,4500,2.0,0,0,3,8,3280,160,2007,0,47.4871,-122.219,1400,5500,6,2014
52,315000.0,3,3.25,1480,983,2.0,0,0,3,8,1180,300,2013,0,47.5555,-122.363,1330,1062,12,2014
53,115000.0,1,2.0,1150,9812,1.0,0,0,4,7,1150,0,1962,0,47.2951,-122.284,1200,9812,7,2014
54,320000.0,4,2.75,1640,3000,1.0,0,0,3,7,1000,640,1984,0,47.5625,-122.283,1150,4545,3,2015
55,698000.0,6,2.5,2680,11250,1.0,0,0,5,7,1340,1340,1967,0,47.6553,-122.19,2200,9875,9,2014
56,503000.0,3,2.0,2590,108900,2.0,0,0,3,8,1980,610,1988,0,47.4088,-122.055,3170,108900,5,2014
57,1150000.0,3,2.5,2850,10474,1.0,0,0,4,8,1730,1120,1954,0,47.6218,-122.209,2820,10474,6,2014
58,885000.0,2,2.0,1313,3600,1.0,0,0,3,8,1313,0,1904,2012,47.6369,-122.365,1080,3600,8,2014
59,240000.0,3,1.75,1240,10956,1.0,0,0,3,6,1240,0,1987,0,47.3705,-122.15,1240,8137,10,2014
60,262000.0,4,2.5,1560,7800,2.0,0,0,3,7,1560,0,1997,0,47.514,-122.316,1160,7800,2,2015
61,460000.0,3,1.75,1520,7700,1.0,0,0,3,7,820,700,1969,0,47.7226,-122.219,1420,7674,3,2015
62,785000.0,4,2.5,3230,21781,2.0,0,0,3,9,3230,0,1993,0,47.6318,-122.01,3230,21780,7,2014
63,855000.0,4,2.25,2190,4080,2.0,0,0,3,8,1800,390,1918,0,47.6425,-122.358,2100,4080,6,2014
64,499900.0,4,2.25,2360,7650,1.0,0,0,3,8,1640,720,1963,0,47.75,-122.292,2320,11060,4,2015
65,418000.0,3,2.0,1410,6030,1.5,0,0,4,7,1410,0,1930,0,47.6994,-122.347,1410,6300,5,2014
66,377500.0,2,1.0,840,4500,1.0,0,0,3,6,840,0,1939,0,47.5441,-122.39,1300,5000,5,2015
67,285000.0,3,1.75,1990,6500,1.0,0,0,3,7,1090,900,1961,0,47.488,-122.221,2150,6500,12,2014
68,422000.0,4,2.5,2930,5973,2.0,0,0,3,10,2930,0,2008,0,47.3846,-122.186,3038,7095,4,2015
69,472500.0,3,2.0,1790,6800,1.0,0,0,4,7,1240,550,1964,0,47.728,-122.339,1470,6800,3,2015
70,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,47.7558,-122.229,1780,12697,5,2014
71,235500.0,5,2.5,2340,13713,1.0,0,0,2,8,1670,670,1967,0,47.3307,-122.324,2080,11000,7,2014
72,446800.0,4,2.0,2410,8712,1.0,0,0,3,7,1260,1150,1958,0,47.5729,-122.302,2220,6038,10,2014
73,160134.0,3,1.5,1190,10116,1.0,0,0,3,7,1190,0,1968,0,47.385,-122.085,1190,9905,12,2014
74,1080000.0,4,2.75,3160,42733,2.0,0,0,3,9,3160,0,1995,0,47.6367,-121.958,1890,24000,4,2015
75,410000.0,3,2.0,1700,4250,1.0,0,0,3,6,890,810,1944,0,47.6542,-122.385,1440,4250,5,2014
76,504600.0,5,3.0,2360,5000,1.0,0,0,3,7,1390,970,2008,0,47.6931,-122.33,2180,5009,7,2014
77,361000.0,3,1.75,1150,17585,1.0,0,0,3,7,1150,0,1964,0,47.6503,-121.908,1200,7500,12,2014
78,532500.0,2,1.0,820,3000,1.0,0,0,4,7,820,0,1924,0,47.6842,-122.348,1490,3000,2,2015
79,779000.0,3,2.5,1580,1487,3.0,0,1,3,9,1580,0,2009,0,47.6276,-122.359,1610,1297,9,2014
80,275000.0,5,2.0,2260,11970,1.0,0,0,4,7,1250,1010,1962,0,47.3896,-122.218,1950,11970,4,2015
81,1800000.0,4,3.5,4460,16953,1.0,0,0,3,9,2550,1910,1962,1994,47.6338,-122.232,1980,13370,5,2014
82,500000.0,3,1.0,1800,7200,1.0,0,0,3,7,1020,780,1964,0,47.5616,-122.275,1740,5475,12,2014
83,1130000.0,5,1.75,1910,5640,2.0,0,0,4,9,1910,0,1906,0,47.6249,-122.311,2050,5400,11,2014
84,260000.0,3,1.75,1680,8725,1.0,0,0,3,8,1240,440,1978,0,47.3107,-122.397,2020,8352,5,2015
85,210000.0,3,1.0,1200,7200,1.0,0,0,3,6,1200,0,1977,0,47.3746,-122.183,1200,7420,9,2014
86,1440000.0,4,3.75,4410,9231,3.0,0,3,3,11,4410,0,2001,0,47.5427,-122.265,2160,6600,9,2014
87,300000.0,2,1.0,1290,2482,2.0,0,0,3,7,1290,0,2008,0,47.6972,-122.025,1290,2482,4,2015
88,540000.0,4,2.5,2290,4450,2.0,0,0,3,9,2290,0,2004,0,47.7385,-122.169,2570,5096,7,2014
89,750000.0,4,2.5,2980,4930,2.0,0,0,3,9,2890,90,2000,0,47.5445,-122.12,2980,6099,5,2014
90,365000.0,2,1.0,960,223898,1.0,0,0,3,6,960,0,1985,0,47.6668,-121.892,1830,230868,8,2014
91,538000.0,4,2.5,3260,10032,1.0,0,0,3,8,1960,1300,1978,0,47.7203,-122.323,1802,7249,7,2014
92,1710000.0,3,3.25,2940,5432,3.0,0,3,4,10,2440,500,1978,0,47.6299,-122.354,4400,5500,6,2014
93,299000.0,3,2.5,1650,4725,2.0,0,0,3,8,1650,0,2011,0,47.3548,-122.055,2000,4725,7,2014
94,989000.0,5,3.5,3280,4000,2.0,0,0,3,9,2440,840,2003,0,47.689,-122.396,1980,4000,6,2014
95,225000.0,3,1.0,1200,9936,1.0,0,0,4,6,1200,0,1969,0,47.3609,-122.029,1200,10189,6,2014
96,500000.0,4,3.0,2450,4668,2.0,0,0,3,8,2450,0,2004,0,47.7721,-122.235,2460,4895,4,2015
97,320000.0,4,1.5,1890,43560,1.0,0,0,4,8,1890,0,1974,0,47.3267,-122.166,2376,5820,6,2014
98,600000.0,3,1.0,1480,17360,1.0,0,1,3,8,1480,0,1954,0,47.5179,-122.387,2250,8720,3,2015
